date,deaths,confirmed
"Mar 2",3085,90306
"Mar 3",3160,92840
"Mar 4",3254,95120
"Mar 5",3348,97886
"Mar 6",3460,101801
"Mar 7",3558,105847
"Mar 8",3802,109821
"Mar 9",3988,113590
"Mar 10",4262,118620
"Mar 11",4615,125875
"Mar 12",4720,128352
"Mar 13",5404,145205
"Mar 14",5819,156101
"Mar 15",6440,167454
"Mar 16",7126,181574
"Mar 17",7905,197102
"Mar 18",8733,214821
"Mar 19",9867,242500
"Mar 20",11299,272035
"Mar 21",12973,304396
"Mar 22",14651,336953
"Mar 23",16505,378235
"Mar 24",18625,418045
"Mar 25",21181,467653
"Mar 26",23970,529591
"Mar 27",27198,593291
"Mar 28",30652,660706
"Mar 29",33925,720117
"Mar 30",37582,782365
"Mar 31",42107,857487
"Apr 1",46809,932605
"Apr 2",52983,1013157
"Apr 3",58787,1095917
"Apr 4",64606,1197405
"Apr 5",69374,1272115
"Apr 6",74565,1345101
"Apr 7",81865,1426096
"Apr 8",88338,1511104
"Apr 9",95455,1595350
"Apr 10",102494,1691718
"Apr 11",108638,1771513
"Apr 12",114091,1846678
"Apr 13",119482,1917318
"Apr 14",125966,1989991
"Apr 15",134240,2068596
"Apr 16",143870,2155307
"Apr 17",153448,2237076
"Apr 18",159581,2320514
"Apr 19",165257,2397081
"Apr 20",169947,2473208
"Apr 21",177176,2563986
"Apr 22",183152,2635821
"Apr 23",190591,2713056
"Apr 24",196029,2794019
"Apr 25",202582,2896410
"Apr 26",203561,2916484
