Country,Year,Value
Afghanistan,2020,19807.07
Albania,2020,14799.62
Algeria,2020,145163.90
American Samoa,2019,638.00
Andorra,2019,3155.07
Angola,2020,62306.91
Antigua and Barbuda,2020,1415.06
Argentina,2020,383066.98
Armenia,2020,12645.46
Aruba,2018,3202.19
Australia,2020,1330900.93
Austria,2020,428965.40
Azerbaijan,2020,42607.18
Bahamas The,2020,11250.00
Bahrain,2019,38474.52
Bangladesh,2020,324239.18
Barbados,2020,4365.50
Belarus,2020,60258.24
Belgium,2020,515332.50
Belize,2020,1763.70
Benin,2020,15651.55
Bermuda,2019,7484.11
Bhutan,2020,2409.26
Bolivia,2020,36688.86
Bosnia and Herzegovina,2020,19788.42
Botswana,2020,15781.73
Brazil,2020,1444733.26
British Virgin Islands,,
Brunei Darussalam,2020,12016.06
Bulgaria,2020,69105.10
Burkina Faso,2020,17369.06
Burundi,2020,3258.19
Cabo Verde,2020,1703.70
Cambodia,2020,25291.25
Cameroon,2020,39802.15
Canada,2020,1643407.98
Cayman Islands,2019,5935.77
Central African Republic,2020,2303.08
Chad,2020,10093.12
Channel Islands,2007,11514.61
Chile,2020,252940.02
China,2020,14722730.70
Colombia,2020,271346.90
Comoros,2020,1219.69
Congo Dem. Rep.,2020,49868.97
Congo Rep.,2020,10884.69
Costa Rica,2020,61520.67
Cote d'Ivoire,2020,61348.58
Croatia,2020,55966.58
Cuba,2019,103131.00
Curacao,2019,3101.79
Cyprus,2020,23804.34
Czech Republic,2020,243530.38
Denmark,2020,355184.02
Djibouti,2020,3384.40
Dominica,2020,469.87
Dominican Republic,2020,78844.70
Ecuador,2020,98808.01
Egypt Arab Rep.,2020,363069.25
El Salvador,2020,24638.72
Equatorial Guinea,2020,10021.86
Eritrea,2011,2065.00
Estonia,2020,31029.97
Eswatini,2020,3962.49
Ethiopia,2020,107645.05
Faroe Islands,2019,3126.29
Fiji,2020,4376.01
Finland,2020,271233.88
France,2020,2603004.40
French Polynesia,2000,3447.54
Gabon,2020,15593.18
Gambia The,2020,1901.93
Georgia,2020,15891.69
Germany,2020,3806060.14
Ghana,2020,72354.43
Gibraltar,,
Greece,2020,189410.11
Greenland,2018,3051.63
Grenada,2020,1089.20
Guam,2019,6311.00
Guatemala,2020,77604.63
Guinea,2020,15681.05
Guinea-Bissau,2020,1431.76
Guyana,2020,5471.26
Haiti,2020,13418.00
Honduras,2020,23827.84
Hong Kong SAR China,2020,346585.88
Hungary,2020,155012.93
Iceland,2020,21714.67
India,2020,2622983.73
Indonesia,2020,1058423.84
Iran Islamic Rep.,2020,191718.27
