World,2020,84705425.88
Arab World,2020,2530185.79
Caribbean small states,2020,68415.25
Central Europe and the Baltics,2020,1644372.28
East Asia & Pacific,2019,26916892.99
East Asia & Pacific (excluding high income),2020,17454153.40
Euro area,2020,12933363.28
Europe & Central Asia,2020,21960949.55
Europe & Central Asia (excluding high income),2020,3217679.45
European Union,2020,15192652.40
Fragile and conflict affected situations,2020,1734071.06
Heavily indebted poor countries (HIPC),2020,801469.94
Latin America & Caribbean,2020,4838097.99
Latin America & Caribbean (excluding high income),2020,4007837.79
Least developed countries: UN classification,2020,1130187.94
Middle East & North Africa,2020,3098531.14
Middle East & North Africa (excluding high income),2020,1214678.56
North America,2020,22587300.01
OECD members,2020,52059613.76
Other small states,2020,377607.68
Pacific island small states,2020,9170.74
Small states,2020,455343.54
South Asia,2020,3351519.77
Sub-Saharan Africa,2020,1685631.63
Sub-Saharan Africa (excluding high income),2020,1684508.65
High income,2020,53255168.55
Low & middle income,2020,30980178.56
Low income,2020,546661.34
Lower middle income,2020,7328773.72
Middle income,2020,30433091.19
Upper middle income,2020,23104877.77
