state,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
AL,3267000,3395000,3446000,3539400,3735139,3893888,3951820,4023844,4131068,4273084,4452173,4530729,4718206,4815588,4863525,4903185
AK,226000,263000,285000,324464,400969,401851,513702,541983,587324,607007,627963,659286,687455,730443,741456,731545
AZ,1302000,1556000,1682000,2008291,2346157,2718215,3067135,3535183,3835485,4428068,5160586,5652404,6280362,6554978,6941072,7278717
AR,1786000,1897000,1902000,2018638,2170161,2286435,2319768,2342656,2395446,2509793,2678588,2749686,2874554,2952164,2989918,3017804
CA,15717000,18151000,19394000,20585469,21935909,23667902,25844393,28464249,30909406,31878234,33987977,35574576,36604337,37948800,39167117,39512223
CO,1754000,1970000,2120000,2404619,2632306,2889964,3169992,3262281,3463145,3822676,4326921,4575013,4889730,5192647,5539215,5758736
CT,2535000,2798000,2964000,3068699,3083335,3107576,3180014,3271953,3279272,3274238,3411777,3496094,3545579,3594547,3578141,3565287
DE,446000,497000,534000,572913,590166,594338,611565,647622,689726,724842,786373,830803,883874,915179,948921,973764
DC,764000,798000,778000,742241,692295,638333,633382,630432,585813,543213,572046,567754,580236,634924,685815,705749
FL,4952000,5781000,6433000,7511463,8667379,9746324,11039925,12306395,13510073,14399985,16047515,17415318,18527305,19297822,20613477,21477737
GA,3943000,4258000,4482000,4809490,5132812,5463105,5834954,6316142,6764524,7353225,8227303,8769252,9504843,9901430,10301890,10617423
HI,633000,700000,734000,828331,904191,964691,1027922,1079828,1153020,1183723,1213519,1273569,1332213,1394804,1427559,1415872
ID,667000,680000,695000,763237,856983,943935,990839,985664,1066203,1189251,1299430,1391802,1534320,1595324,1682380,1787065
IL,10081000,10580000,10995000,11251948,11342853,11426518,11412132,11390183,11610447,11846544,12434161,12589773,12747038,12882510,12820527,12671821
IN,4662000,4856000,5093000,5302435,5389088,5490224,5458322,5491735,5652211,5840528,6091866,6233007,6424806,6537703,6634304,6732219
IA,2758000,2746000,2803000,2860287,2903082,2913808,2858618,2768388,2807782,2851792,2929067,2953635,3016734,3076190,3131371,3155070
KS,2179000,2209000,2216000,2256375,2301001,2363679,2424086,2461996,2517791,2572150,2693681,2734373,2808076,2885257,2910844,2913314
KY,3038000,3129000,3195000,3335728,3529257,3660777,3695453,3679999,3752639,3883723,4049021,4146101,4289878,4386346,4438182,4467673
LA,3257000,3446000,3603000,3761646,3950605,4205900,4400477,4288863,4273036,4350579,4471885,4552238,4435586,4600972,4678135,4648794
ME,969000,993000,994000,1034292,1088412,1124660,1155635,1203840,1237103,1243316,1277072,1313688,1330509,1327729,1331317,1344212
MD,3101000,3492000,3815000,4073499,4150539,4216975,4365243,4657904,4913625,5071604,5311034,5546935,5684965,5886992,6003323,6045680
