State,1790,1800,1810,1820,1830,1840,1850,1860
Alabama,,"1,250","9,046","127,901","309,527","590,756","771,623","964,201"
Alaska,,,,,,,,
American Samoa,,,,,,,,
Arizona,,,,,,,,
Arkansas,,,"1,062","14,273","30,388","97,574","209,897","435,450"
California,,,,,,,"92,597","379,994"
Colorado,,,,,,,,"34,277"
Connecticut,"237,946","251,002","262,042","275,202","297,675","309,978","370,792","460,147"
Delaware,"59,096","64,273","72,674","72,749","76,748","78,085","91,532","112,216"
District of Columbia [e],,"8,144","15,471","23,336","30,261","33,745","51,687","75,080"
Florida,,,,,"34,730","54,477","87,445","140,424"
Georgia,"82,548","162,686","251,407","340,989","516,823","691,392","906,185","1,057,286"
Guam,,,,,,,,
Hawaii,,,,,,,,
Idaho,,,,,,,,
Illinois,,"2,458","12,282","55,211","157,445","476,183","851,470","1,711,951"
Indiana,,"2,632","24,520","147,178","343,031","685,866","988,416","1,350,428"
Iowa,,,,,,"43,112","192,214","674,913"
Kansas,,,,,,,,"107,206"
Kentucky,"73,677","220,959","406,511","564,317","687,917","779,828","982,405","1,155,684"
Louisiana [f],,,"76,556","153,407","215,739","352,411","517,762","708,002"
Maine [g],"96,540","151,719","228,705","298,335","399,455","501,793","583,169","628,279"
Maryland [h],"319,728","341,548","380,546","407,350","447,040","470,019","583,034","687,049"
Massachusetts,"378,787","422,845","472,040","523,287","610,408","737,699","994,514","1,231,066"
Michigan,,"3,757","4,762","7,452","28,004","212,267","397,654","749,113"
Minnesota,,,,,,,"6,077","172,023"
Mississippi,,"7,600","31,306","75,448","136,621","375,651","606,526","791,305"
Missouri,,,"19,783","66,586","140,455","383,702","682,044","1,182,012"
Montana,,,,,,,,
Nebraska,,,,,,,,"28,841"
Nevada,,,,,,,,"6,857"
New Hampshire,"141,885","183,858","214,360","244,161","269,328","284,574","317,976","326,073"
New Jersey,"184,139","211,149","245,555","277,575","320,823","373,306","489,555","672,035"
New Mexico,,,,,,,"61,547","93,516"
New York,"340,120","586,050","959,049","1,372,812","1,918,608","2,428,921","3,097,394","3,880,735"
North Carolina,"393,751","478,103","556,526","638,829","737,987","753,419","869,039","992,622"
North Dakota,,,,,,,,
Northern Mariana Islands,,,,,,,,
Ohio,,"42,159","230,760","581,434","937,903","1,519,467","1,980,329","2,339,511"
Oklahoma,,,,,,,,
Oregon,,,,,,,"12,093","52,465"
Pennsylvania,"434,373","602,545","810,091","1,049,458","1,348,233","1,724,033","2,311,786","2,906,215"
Puerto Rico,,,,,,,,
Rhode Island,"68,825","69,122","76,931","83,059","97,199","108,830","147,545","174,620"
South Carolina,"249,073","345,591","415,115","502,741","581,185","594,398","668,507","703,708"
South Dakota [i],,,,,,,,"4,837"
Tennessee,"35,691","105,602","261,727","422,813","681,904","829,210","1,002,717","1,109,801"
Texas,,,,,,,"212,592","604,215"
U.S. Virgin Islands,,,,,,,,
Utah,,,,,,,"11,380","40,273"
Vermont [j],"85,425","154,465","217,713","235,764","280,652","291,948","314,120","315,098"
Virginia [k],"691,937","807,557","877,683","938,261","1,044,054","1,025,227","1,119,348","1,219,630"
Washington,,,,,,,"1,201","11,594"
West Virginia [l],"55,873","78,592","105,469","136,808","176,924","224,537","302,313","376,688"
Wisconsin,,,,"1,444","3,635","30,945","305,391","775,881"
Wyoming,,,,,,,,
