date,Fire alerts,Fire alerts,Fire alerts
Jan 2012,12,null,null
Feb 2012,45,null,null
Mar 2012,399,null,null
Apr 2012,89,null,null
May 2012,251,null,null
Jun 2012,99,null,null
Jul 2012,214,null,null
Aug 2012,288,null,null
Sep 2012,242,null,null
Oct 2012,164,null,null
Nov 2012,54,null,null
Dec 2012,16,null,null
Jan 2013,12,null,null
Feb 2013,17,null,null
Mar 2013,99,null,null
Apr 2013,178,null,null
May 2013,163,null,null
Jun 2013,238,null,null
Jul 2013,359,null,null
Aug 2013,275,null,null
Sep 2013,241,null,null
Oct 2013,160,null,null
Nov 2013,46,null,null
Dec 2013,72,null,null
Jan 2014,null,null,49
Feb 2014,null,null,67
Mar 2014,null,null,479
Apr 2014,null,null,219
May 2014,null,null,202
Jun 2014,null,null,223
Jul 2014,null,null,279
Aug 2014,null,null,187
Sep 2014,null,null,258
Oct 2014,null,null,179
Nov 2014,null,null,80
Dec 2014,null,null,25
Jan 2015,29,null,null
Feb 2015,63,null,null
Mar 2015,266,null,null
Apr 2015,310,null,null
May 2015,150,null,null
Jun 2015,262,null,null
Jul 2015,351,null,null
Aug 2015,411,null,null
Sep 2015,215,null,null
Oct 2015,173,null,null
Nov 2015,70,null,null
Dec 2015,55,null,null
Jan 2016,24,null,null
Feb 2016,40,null,null
Mar 2016,177,null,null
Apr 2016,248,null,null
May 2016,275,null,null
Jun 2016,215,null,null
Jul 2016,231,null,null
Aug 2016,378,null,null
Sep 2016,410,null,null
Oct 2016,112,null,null
Nov 2016,56,null,null
Dec 2016,48,null,null
Jan 2017,54,null,null
Feb 2017,82,null,null
Mar 2017,309,null,null
Apr 2017,148,null,null
May 2017,233,null,null
Jun 2017,217,null,null
Jul 2017,190,null,null
Aug 2017,252,null,null
Sep 2017,176,null,null
Oct 2017,191,null,null
Nov 2017,74,null,null
Dec 2017,14,null,null
Jan 2018,null,30,null
Feb 2018,null,92,null
Mar 2018,null,123,null
Apr 2018,null,502,null
May 2018,null,394,null
Jun 2018,null,248,null
Jul 2018,null,504,undefined
Aug 2018,null,315,undefined
