country,latitude,longitude,name
AND,42.546245,1.601554,Andorra
ARE,23.424076,53.847818,"United Arab Emirates"
AFG,33.93911,67.709953,Afghanistan
ATG,17.060816,-61.796428,"Antigua and Barbuda"
AIA,18.220554,-63.068615,Anguilla
ALB,41.153332,20.168331,Albania
ARM,40.069099,45.038189,Armenia
ANT,12.226079,-69.060087,"Netherlands Antilles"
AGO,-11.202692,17.873887,Angola
ATA,-75.250973,-0.071389,Antarctica
ARG,-38.416097,-63.616672,Argentina
ASM,-14.270972,-170.132217,American Samoa
AUT,47.516231,14.550072,Austria
AUS,-25.274398,133.775136,Australia
ABW,12.52111,-69.968338,Aruba
AZE,40.143105,47.576927,Azerbaijan
BIH,43.915886,17.679076,"Bosnia and Herzegovina"
BRB,13.193887,-59.543198,Barbados
BGD,23.684994,90.356331,Bangladesh
BEL,50.503887,4.469936,Belgium
BFA,12.238333,-1.561593,"Burkina Faso"
BGR,42.733883,25.48583,Bulgaria
BHR,25.930414,50.637772,Bahrain
BDI,-3.373056,29.918886,Burundi
BEN,9.30769,2.315834,Benin
BMU,32.321384,-64.75737,Bermuda
BRN,4.535277,114.727669,Brunei
BOL,-16.290154,-63.588653,Bolivia
BRA,-14.235004,-51.92528,Brazil
BHS,25.03428,-77.39628,Bahamas
BTN,27.514162,90.433601,Bhutan
BVT,-54.423199,3.413194,"Bouvet Island"
BWA,-22.328474,24.684866,Botswana
BLR,53.709807,27.953389,Belarus
BLZ,17.189877,-88.49765,Belize
CAN,56.130366,-106.346771,Canada
CCK,-12.164165,96.870956,"Cocos [Keeling] Islands"
COD,-4.038333,21.758664,"Congo [DRC]"
CAF,6.611111,20.939444,"Central African Republic"
COG,-0.228021,15.827659,"Congo [Republic]"
CHE,46.818188,8.227512,Switzerland
CIV,7.539989,-5.54708,"Côte d'Ivoire"
COK,-21.236736,-159.777671,"Cook Islands"
CHL,-35.675147,-71.542969,Chile
CMR,7.369722,12.354722,Cameroon
CHN,35.86166,104.195397,China
COL,4.570868,-74.297333,Colombia
CRI,9.748917,-83.753428,Costa Rica
CUB,21.521757,-77.781167,Cuba
CPV,16.002082,-24.013197,"Cape Verde"
CXR,-10.447525,105.690449,"Christmas Island"
