Date,Total,Federal,State
1980,329821,24363,305458
1981,369930,28133,341797
1982,413806,29673,384133
1983,436855,31926,404929
1984,462002,34263,427739
1985,502507,40223,462284
1986,544972,44408,500564
1987,585084,48300,536784
1988,627600,49928,577672
1989,712364,59171,653193
1990,773919,65526,708393
1991,825559,71608,753951
1992,882500,80259,802241
1993,969301,89587,879714
1994,1054702,95034,959668
1995,1125874,100250,1025624
1996,1181919,105544,1076375
1997,1240659,112973,1127686
1998,1307154,123041,1184113
1999,1363686,135246,1228440
2000,1394231,145416,1248815
2001,1404032,156993,1247039
2002,1440144,163528,1276616
2003,1468601,173059,1295542
2004,1497100,180328,1316772
2005,1525910,187618,1338292
2006,1568674,193046,1375628
2007,1596835,199618,1397217
2008,1608282,201280,1407002
2009,1615487,208118,1407369
2010,1613803,209771,1404032
2011,1598968,216362,1382606
2012,1570397,217815,1352582
2013,1576950,215866,1361084
2014,1562319,210567,1351752
2015,1526603,196455,1330148
2016,1505397,189192,1316205
