year,pop,ppct,wpop,wpct,bpop,bpct
1820,7175,100.0,6328,88.2,847,11.8
1830,12406,100.0,11433,92.2,973,7.8
1840,36233,100.0,34458,95.1,1775,4.9
1850,96838,100.0,94414,97.5,2424,2.5
1860,266661,100.0,262348,98.4,4313,1.6
1870,396099,100.0,391142,98.7,4944,1.2
1880,566663,100.0,558427,98.5,8095,1.4
1890,806343,100.0,795397,98.6,10287,1.3
1900,1166582,100.0,1146909,98.3, 18 367,1.6
1910,1634351,100.0,1610487,98.5, 22 708,1.4
1920,2018356,100.0,1984953,98.3, 31 912,1.6
1930,2560401,100.0,2488815,97.2, 68 921,2.7
1940,2698285,100.0,2587951,95.9, 107 263,4.0
1950,2738175,100.0,2525118,92.2, 208 478,7.6
1960,2627319,100.0,2245859,85.5, 371 405,14.1
1970,2602012,100.0,1905788,73.2, 656 194,25.2
1980,2230936,100.0,1249486,56.0, 722 812,32.4
1990,2300664,100.0,1078549,46.9, 872 305,37.9
