id,name,state,type,metro,politics,unions,english,germanprot,germancath,irish,eeurope,italian,mexicandem,mixed,dontknowdem,confirmed,year,ordinance,sign,still,vexplusion,threat,vtonewcomers,police,private,zoning,realtors,reputation,otherexplusion,dontknowexplusion,black,chinese,native,mexican,jew,asian,other,dontknowexcluded,1860total,1860white,1860black,1860chinese,1860native,1860mexican,1860otherexcluded,1860blackhouse,1870total,1870white,1870black,1870chinese,1870native,1870mexican,1870otherexcluded,1870blackhouse,1880total,1880white,1880black,1880chinese,1880native,1880mexican,1880otherexcluded,1880blackhouse,1890total,1890white,1890black,1890chinese,1890native,1890mexican,1890otherexcluded,1890blackhouse,1900total,1900white,1900black,1900chinese,1900native,1900mexican,1900otherexcluded,1900blackhouse,1910total,1910white,1910black,1910chinese,1910native,1910mexican,1910otherexcluded,1910blackhouse,1920total,1920white,1920black,1920chinese,1920native,1920mexican,1920otherexcluded,1920blackhouse,1930total,1930white,1930black,1930chinese,1930native,1930mexican,1930otherexcluded,1930blackhouse,1940total,1940white,1940black,1940chinese,1940native,1940mexican,1940otherexcluded,1940blackhouse,1950total,1950white,1950black,1950chinese,1950native,1950mexican,1950otherexcluded,1950blackhouse,1960total,1960white,1960black,1960chinese,1960native,1960mexican,1960otherexcluded,1960blackhouse,1970total,1970white,1970black,1970chinese,1970native,1970mexican,1970otherexcluded,1970blackhouse,1980total,1980white,1980black,1980chinese,1980native,1980mexican,1980otherexcluded,1980blackhouse,1990total,1990white,1990black,1990chinese,1990native,1990mexican,1990otherexcluded,1990blackhouse,2000total,2000white,2000black,2000chinese,2000native,2000mexican,2000otherexcluded,2000blackhouse,2010total,2010white,2010black,2010chinese,2010native,2010mexican,2010otherexcluded,2010blackhouse,2020total,2020white,2020black,2020chinese,2020native,2020mexican,2020otherexcluded,2020blackhouse,comments,latitude,longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One resident managed a business in Pittsfield for several years. He recalled one black delivery man coming into the business, and a patron telling the delivery man he had to be out of town by sundown. The store manager believed the patron was a member of the city council. This was around 2003. \n\n-------\n\nThe Pittsfield Work Camp opened in 1996. This probably explains almost the entire black population in the town in 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Arab,AL,1,,,,,,,,,,,,,4,,0,3,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,952",,0,,,,,,,"2,989",0,,,,,,,,,,,,,,,,,,,,,,"6,321",,0,,,,,,7.139,,13,,,,,,"8,000",,,,,,,,,,,,,,,,Asked why there are no blacks in Arab, a resident (who has lived in Arab since 1927) says," \""It's always \nbeen that way. There was one in the Roof community; \nthey called him Rabbit"," Nigger Rabbit.  Everybody liked \nhim.\""  He lived there until he died. \""In the '40s", maybe \n50s, if they came shopping or something like that," \nthey'd run 'em out of town.\"" It was one guy", really, a \nchiropractor.  It'd be different now," \""That happened a \nlong time ago"," and it's still in their [blacks'] minds.\""\n\n\""Until the early 90's there was a sign as you entered \nArab", Alabama that read 'Nigger, Don't Let The Sun Set \nOn Your Black Ass in Arab," Alabama.'\""\n\n-posted to the web 2002\n\n7\/2007\n\nMy parents recently moved to Arab after living in Huntsville for several years. I live in New York"," but I am shocked everytime I visit them in Arab. They have a Wal-Mart and there is not a single African-American person shopping or working.  My sister's friends won't even visit her because it is just known that \""black people don't go to Arab\"". If I  bring it up", my mom says that a few have moved to Arab and it is becoming more friendly. Right.\n\n,34.3181,-86.4958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Chickasaw,AL,1,,,,,,,,,,,,1,3,,0,3,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,"1,794",,,,,,,,"1,033",,,,,,,,"1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,002",,3,,,,,,,,,,,,,,,,,,,,,,"6,457",,27,,,,,,"6,364","5,657",517,15,86,73,19,,,,,,,,,,,,,,,,,,"\t\""I was born in Mobile in 1931", and being a \nperson of color, the family members were the source \nof the talk.  The sign read 'Nigger, don't be caught  \nhere after the sun goes down,"' or something to that \neffect.\""\n-resident of Mobile",30.7638,-88.0747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Cullman,AL,1,,,,,,,,,,,,1,4,,0,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,"1,249",,43,,,,,,"1,982",,,,,,,,"2,917",,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,"9,576",,,,,,,,"7,523",,17,,,,,,"10,883",,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,271",,27,,,,,,,,,,,,,,,,,,,,,,Cullman's 27 black residents include 13 children \n(ages 1-17), none living with black adults; two \nblack married couples," both childless; 4 blacks \nlisted as in \""non-family households\"" which may be \nlive-in domestic help or foster children"," and some \nyoung black males.\n\n\""I went to a wedding in Cullman several years ago \nand when I would tell someone where I was going \nor had been I was shocked to see how many people \ntold me the story about the sign at the city limits \nsaying 'Don't let the sun set etc.'\""\n-email correspondence\n\nAccording to a graduate student from Cullman", the \nsign warning blacks to be out of town before \nsundown was still visible until the 1970s.\n\nThe sign may have stood until 1972," according to a \nformer hospital administrator from Cullman.\n\n   \""[My mother] told us that... the drugstore where \nGreyhound buses used to stop in Cullman had had \nno black facilities at all. Blacks riding on the main \nbus line from Nashville to Birmingham and points \nsouth would step off in Cullman to look for \nrestrooms only to be turned back"," and mothers \ncould be heard explaining to their crying children \nthat they would have to wait until farther down the \nroad...\n   \""My parents made it clear that my sister and I \nwere not to repeat their most liberal sentiments to \njust anyone: 'There are some things we just don't \ntalk about outside the home.' It was said that \neducators like my father could lose their jobs for \ntheir views"," although I never knew of any such \nincidents in Cullman...\n   \""Cullman was proud of its lively classical music \nscene that dated from the German immigrants of \nthe late nineteenth century.  There were lessons \nand recitals", music clubs, church music events that \ndrew interdenominational crowds, and a thriving \nconcert series. But whenever a touring group came \nto town that included black members, none of the \nhotels or motels would house them, much less the \narts patrons themselves; the blacks would have to \nfind rooms at St. Bernard Abbey," the Benedictine \nmonastery (which also included a college until the \n1970s).  The cultured Cullmanites left it to \""the \nBrothers\"" to do the right thing.\n   \""It was also St. Bernard that integrated the city \nswimming pool.  One summer around 1965", the \npool office was telephoned by someone at St. \nBernard wanting to bring a group of out-of-town \nyouths who were staying there for a church retreat.  \nIf the speaker indicated that the group was \nintegrated, the pool employee did not realize it.  \nWhen the group arrived, pool workers saw that its \nmembers were black but admitted them without \ncomment.  None of the white swimmers left early or \ncomplained, and I never heard about the incident \nexcept from my sister," who worked at the pool.\""\n-former resident of Cullman",34.1748,-86.8436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Cullman County,AL,4,,,,,,,,,,,,1,4,,0,0,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,"11,347",,38,,,,,,"17,849",,21,,,,,,,,,,,,,,,,,,,,,,"41,051",,441,,,,,,,,,,,,,,"49,046",,476,,,,,,"45,572",,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,483",,743,,,,,,,,,,,,,,,,,,,,,,email 1\/2008\r\n\r\nIn January 2008, a black Democrat defeated a neo-Confederate white Republican to win Alabama's 12th House District from Cullman County. \r\n***\r\n\r\nWhile Cullman county does have black residents, they are only allowed to live in the small town of Colony. The rest of the county is sundown.,34.13333,-86.86667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Dixie,AL,1,,,,,,,,,,,,1,2,,0,0,0,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\""After wreaking vengeance on the Negro population of \nDixie", a small town near here [Dothan], driving every \nblack from the village and killing one last night, a mob \nis searching the countryside for another Negro. The \nbody of Miss Estelle Brown was found in her home last \nnight, the head pierced by two bullets. Across the \nbody lay a rifle. A Negro was seen near the home a \nshort time before the body was found. A mob formed \nand proceeded to Dixie," of which the major portion of \nthe inhabitants are Negroes.\""\n\n-New York Times",1912,31.1446,-86.7194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Fyffe,AL,1,,,,,,,,,,,,1,2,,0,0,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,094",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,913,9,3,12,18,11,,,,,,,,,,,,,,,,,,,34.4468,-85.9041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Good Hope,AL,1,,,,,,,,,,,,1,3,,0,0,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,700",,2,,,,,,,,,,,,,,"1,113",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,966","1,943",2,3,4,22,6,,,,,,,,,,,,,,,,,,,34.1159,-86.8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Hanceville,AL,1,,,,,,,,,,,,1,3,,0,0,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,246",,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,147",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,951","2,747",136,2,18,68,22,,,,,,,,,,,,,,,,,,In 1920, Hanceville's 8 African Americans were all \nadults, indicating that they were probably live-in \ndomestic servants.,34.0607,-86.7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Hokes Bluff,AL,1,,,,,,,,,,,,1,3,,0,0,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,739",,0,,,,,,,,,,,,,,,,,,,,,,"1,158",,11,,,,,,"1,619",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,149","4,107",4,3,9,19,10,,,,,,,,,,,,,,,,,,,33.9982,-85.8664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
